"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","55","1143","31153526","3.67"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","55","6667","60674049","10.99"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","56","5508","28722092","19.18"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","56","1047","30391837","3.45"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","56","6555","59113929","11.09"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","57","5029","27584509","18.23"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","57","1027","29329089","3.5"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","57","6056","56913598","10.64"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","58","5028","26481046","18.99"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","58","914","28291274","3.23"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","58","5942","54772320","10.85"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","59","4798","25315043","18.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","59","858","27192480","3.16"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","59","5656","52507523","10.77"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","60","4485","24115105","18.6"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","60","808","26060645","3.1"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","60","5293","50175750","10.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","61","4333","23152626","18.71"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","61","725","25106166","2.89"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","61","5058","48258792","10.48"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","62","3751","22136214","16.95"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","62","672","24141470","2.78"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","62","4423","46277684","9.56"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","63","3691","21032413","17.55"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","63","676","23077541","2.93"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","63","4367","44109954","9.9"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","64","3606","20077579","17.96"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","64","636","22165848","2.87"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","64","4242","42243427","10.04"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","65","3336","19085842","17.48"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","65","587","21251597","2.76"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","65","3923","40337439","9.73"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","66","3305","18086315","18.27"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","66","555","20306492","2.73"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","66","3860","38392807","10.05"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","67","3128","17119473","18.27"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","67","499","19404691","2.57"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","67","3627","36524164","9.93"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","68","3141","16044992","19.58"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","68","446","18393904","2.42"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","68","3587","34438896","10.42"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","69","3106","15378334","20.2"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","69","444","17847535","2.49"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","69","3550","33225869","10.68"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","70","3022","14638022","20.64"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","70","425","17241796","2.46"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","70","3447","31879818","10.81"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","71","2941","14029851","20.96"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","71","437","16717302","2.61"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","71","3378","30747153","10.99"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","72","2938","13230047","22.21"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","72","356","16044130","2.22"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","72","3294","29274177","11.25"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","73","3054","12614353","24.21"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","73","320","15548723","2.06"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","73","3374","28163076","11.98"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","74","2898","12027636","24.09"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","74","322","15108635","2.13"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","74","3220","27136271","11.87"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","75","2961","11373450","26.03"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","75","316","14595990","2.16"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","75","3277","25969440","12.62"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","76","2913","10819714","26.92"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","76","331","14186550","2.33"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","76","3244","25006264","12.97"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","77","2796","10203125","27.4"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","77","276","13707965","2.01"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","77","3072","23911090","12.85"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","78","2704","9617533","28.12"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","78","281","13251818","2.12"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","78","2985","22869351","13.05"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","79","2705","8952315","30.22"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","79","270","12700358","2.13"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","79","2975","21652673","13.74"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","80","2567","8258860","31.08"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","80","282","12078226","2.33"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","80","2849","20337086","14.01"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","81","2482","7611394","32.61"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","81","264","11502668","2.3"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","81","2746","19114062","14.37"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","82","2398","6915982","34.67"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","82","218","10821405","2.01"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","82","2616","17737387","14.75"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","83","2204","6233778","35.36"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","83","210","10122748","2.07"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","83","2414","16356526","14.76"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","84","1997","5528088","36.12"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","84","169","9354286","1.81"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","84","2166","14882374","14.55"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","85","9887","25436037","38.87"
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","85","793","55083171","1.44"
"","All Races","United States","Both","All Ages","1999","2014","Firearm","85","10680","80519208","13.26"
"Males","All Races","United States","Both","All Ages","1999","2014","Firearm","199","169",".","."
"Females","All Races","United States","Both","All Ages","1999","2014","Firearm","199","20",".","."
"","All Races","United States","Both","All Ages","1999","2014","Firearm","199","189",".","."
"","All Races","United States","Both","All Ages","1999","2014","Firearm",".","497632","4791896514","10.38"
