Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Age in Years,Deaths,Population,Crude Rate
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,55,15,31153526,0.05
,All Races,United States,Both,All Ages,1999,2014,Terrorism,55,48,60674049,0.08
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,56,22,28722092,0.08
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,56,5,30391837,0.02
,All Races,United States,Both,All Ages,1999,2014,Terrorism,56,27,59113929,0.05
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,57,36,27584509,0.13
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,57,8,29329089,0.03
,All Races,United States,Both,All Ages,1999,2014,Terrorism,57,44,56913598,0.08
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,58,20,26481046,0.08
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,58,11,28291274,0.04
,All Races,United States,Both,All Ages,1999,2014,Terrorism,58,31,54772320,0.06
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,59,13,25315043,0.05
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,59,6,27192480,0.02
,All Races,United States,Both,All Ages,1999,2014,Terrorism,59,19,52507523,0.04
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,60,14,24115105,0.06
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,60,10,26060645,0.04
,All Races,United States,Both,All Ages,1999,2014,Terrorism,60,24,50175750,0.05
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,61,13,23152626,0.06
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,61,4,25106166,0.02
,All Races,United States,Both,All Ages,1999,2014,Terrorism,61,17,48258792,0.04
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,62,13,22136214,0.06
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,62,10,24141470,0.04
,All Races,United States,Both,All Ages,1999,2014,Terrorism,62,23,46277684,0.05
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,63,8,21032413,0.04
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,63,3,23077541,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,63,11,44109954,0.02
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,64,3,20077579,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,64,2,22165848,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,64,5,42243427,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,65,5,19085842,0.03
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,65,4,21251597,0.02
,All Races,United States,Both,All Ages,1999,2014,Terrorism,65,9,40337439,0.02
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,66,8,18086315,0.04
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,66,0,20306492,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,66,8,38392807,0.02
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,67,1,17119473,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,67,1,19404691,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,67,2,36524164,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,68,4,16044992,0.02
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,68,1,18393904,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,68,5,34438896,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,69,2,15378334,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,69,2,17847535,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,69,4,33225869,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,70,4,14638022,0.03
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,70,0,17241796,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,70,4,31879818,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,71,3,14029851,0.02
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,71,1,16717302,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,71,4,30747153,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,72,1,13230047,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,72,2,16044130,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,72,3,29274177,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,73,0,12614353,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,73,1,15548723,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,73,1,28163076,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,74,2,12027636,0.02
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,74,0,15108635,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,74,2,27136271,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,75,0,11373450,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,75,0,14595990,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,75,0,25969440,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,76,1,10819714,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,76,1,14186550,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,76,2,25006264,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,77,1,10203125,0.01
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,77,0,13707965,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,77,1,23911090,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,78,0,9617533,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,78,1,13251818,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,78,1,22869351,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,79,2,8952315,0.02
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,79,1,12700358,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,79,3,21652673,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,80,0,8258860,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,80,1,12078226,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,80,1,20337086,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,81,0,7611394,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,81,1,11502668,0.01
,All Races,United States,Both,All Ages,1999,2014,Terrorism,81,1,19114062,0.01
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,82,0,6915982,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,82,0,10821405,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,82,0,17737387,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,83,0,6233778,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,83,0,10122748,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,83,0,16356526,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,84,0,5528088,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,84,0,9354286,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,84,0,14882374,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,85,1,25436037,0
Females,All Races,United States,Both,All Ages,1999,2014,Terrorism,85,0,55083171,0
,All Races,United States,Both,All Ages,1999,2014,Terrorism,85,1,80519208,0
Males,All Races,United States,Both,All Ages,1999,2014,Terrorism,199,4,.,.
,All Races,United States,Both,All Ages,1999,2014,Terrorism,199,4,.,.
,All Races,United States,Both,All Ages,1999,2014,Terrorism,.,2930,4791896514,0.06
