"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Deaths","Population","Crude Rate"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","80","72","20337086","0.35"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","81","38","7611394","0.5"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","81","4","11502668","0.03"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","81","42","19114062","0.22"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","82","39","6915982","0.56"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","82","5","10821405","0.05"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","82","44","17737387","0.25"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","83","25","6233778","0.4"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","83","9","10122748","0.09"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","83","34","16356526","0.21"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","84","30","5528088","0.54"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","84","4","9354286","0.04"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","84","34","14882374","0.23"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","85","82","25436037","0.32"
"Females","All Races","United States","Both","All Ages","1999","2014","Other Transport","85","15","55083171","0.03"
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","85","97","80519208","0.12"
"Males","All Races","United States","Both","All Ages","1999","2014","Other Transport","199","3",".","."
"","All Races","United States","Both","All Ages","1999","2014","Other Transport","199","3",".","."
"","All Races","United States","Both","All Ages","1999","2014","Other Transport",".","20825","4791896514","0.43"
